"Name","Child Poverty by Poverty Level"
"Description","Poverty level is the ratio of household income to the Federal Poverty Level (FPL).&nbsp;The FPL varies based on the number of children and adults in a household and the age of the head of household. In 2019,&nbsp;<a href=""https://aspe.hhs.gov/2019-poverty-guidelines"" target=""_blank"">the annual income thresholds for a family of four</a>&nbsp;would correspond to the following breakdown of poverty levels:<br />
Below 100% FPL = Below $25,750<br />
100 to 199% FPL = $25,750 to $51,499<br />
Below 200% FPL = Below $51,500<br />
200 to 399% FPL = $51,500 to $102,999<br />
400% FPL and above = $103,000 and above"
"Source Notes","CCC Analysis of U.S. Census Bureau, American Community Survey Combined 3-Year Estimates, Public Use Microdata Sample Files (2005-2019). Retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the total population for whom poverty status was determined."

Location,Poverty Level,TimeFrame,DataFormat,Data,Fips
Bronx,Below 200% FPL,2015,Percent,0.68352,36005
Manhattan,Below 200% FPL,2015,Percent,0.41421,36061
Brooklyn,Below 200% FPL,2015,Percent,0.56073,36047
Queens,Below 200% FPL,2015,Percent,0.44786,36081
Staten Island,Below 200% FPL,2015,Percent,0.35922,36085
New York City,Below 200% FPL,2015,Percent,0.52438,3651000
Bronx,Below 200% FPL,2014,Percent,0.69833,36005
Manhattan,Below 200% FPL,2014,Percent,0.42019,36061
Brooklyn,Below 200% FPL,2014,Percent,0.57252,36047
Queens,Below 200% FPL,2014,Percent,0.45193,36081
Staten Island,Below 200% FPL,2014,Percent,0.35475,36085
New York City,Below 200% FPL,2014,Percent,0.53313,3651000
Bronx,Below 200% FPL,2013,Percent,0.6864,36005
Manhattan,Below 200% FPL,2013,Percent,0.43235,36061
Brooklyn,Below 200% FPL,2013,Percent,0.57996,36047
Queens,Below 200% FPL,2013,Percent,0.45614,36081
Staten Island,Below 200% FPL,2013,Percent,0.35187,36085
New York City,Below 200% FPL,2013,Percent,0.53585,3651000
Bronx,Below 200% FPL,2012,Percent,0.69476,36005
Manhattan,Below 200% FPL,2012,Percent,0.44777,36061
Brooklyn,Below 200% FPL,2012,Percent,0.58159,36047
Queens,Below 200% FPL,2012,Percent,0.46033,36081
Staten Island,Below 200% FPL,2012,Percent,0.32402,36085
New York City,Below 200% FPL,2012,Percent,0.53971,3651000
Bronx,Below 200% FPL,2011,Percent,0.67434,36005
Manhattan,Below 200% FPL,2011,Percent,0.43007,36061
Brooklyn,Below 200% FPL,2011,Percent,0.5664,36047
Queens,Below 200% FPL,2011,Percent,0.4349,36081
Staten Island,Below 200% FPL,2011,Percent,0.33139,36085
New York City,Below 200% FPL,2011,Percent,0.52139,3651000
Bronx,Below 200% FPL,2010,Percent,0.67006,36005
Manhattan,Below 200% FPL,2010,Percent,0.40323,36061
Brooklyn,Below 200% FPL,2010,Percent,0.55328,36047
Queens,Below 200% FPL,2010,Percent,0.41545,36081
Staten Island,Below 200% FPL,2010,Percent,0.31212,36085
New York City,Below 200% FPL,2010,Percent,0.50582,3651000
Bronx,200 to 399% FPL,2017,Percent,0.23236,36005
Manhattan,200 to 399% FPL,2017,Percent,0.13295,36061
Brooklyn,200 to 399% FPL,2017,Percent,0.2358,36047
Queens,200 to 399% FPL,2017,Percent,0.29761,36081
Staten Island,200 to 399% FPL,2017,Percent,0.29069,36085
New York City,200 to 399% FPL,2017,Percent,0.24089,3651000
Bronx,200 to 399% FPL,2016,Percent,0.22044,36005
Manhattan,200 to 399% FPL,2016,Percent,0.13054,36061
Brooklyn,200 to 399% FPL,2016,Percent,0.23436,36047
Queens,200 to 399% FPL,2016,Percent,0.29174,36081
Staten Island,200 to 399% FPL,2016,Percent,0.30291,36085
New York City,200 to 399% FPL,2016,Percent,0.23684,3651000
Bronx,200 to 399% FPL,2015,Percent,0.21704,36005
Manhattan,200 to 399% FPL,2015,Percent,0.14399,36061
Brooklyn,200 to 399% FPL,2015,Percent,0.22933,36047
Queens,200 to 399% FPL,2015,Percent,0.29598,36081
Staten Island,200 to 399% FPL,2015,Percent,0.28094,36085
New York City,200 to 399% FPL,2015,Percent,0.2361,3651000
Bronx,200 to 399% FPL,2014,Percent,0.20501,36005
Manhattan,200 to 399% FPL,2014,Percent,0.14845,36061
Brooklyn,200 to 399% FPL,2014,Percent,0.23344,36047
Queens,200 to 399% FPL,2014,Percent,0.29558,36081
Staten Island,200 to 399% FPL,2014,Percent,0.2716,36085
New York City,200 to 399% FPL,2014,Percent,0.23489,3651000
Bronx,200 to 399% FPL,2013,Percent,0.21413,36005
Manhattan,200 to 399% FPL,2013,Percent,0.15308,36061
Brooklyn,200 to 399% FPL,2013,Percent,0.23702,36047
Queens,200 to 399% FPL,2013,Percent,0.30377,36081
Staten Island,200 to 399% FPL,2013,Percent,0.26885,36085
New York City,200 to 399% FPL,2013,Percent,0.24048,3651000
Bronx,200 to 399% FPL,2012,Percent,0.20556,36005
Manhattan,200 to 399% FPL,2012,Percent,0.14881,36061
Brooklyn,200 to 399% FPL,2012,Percent,0.23998,36047
Queens,200 to 399% FPL,2012,Percent,0.3038,36081
Staten Island,200 to 399% FPL,2012,Percent,0.28619,36085
New York City,200 to 399% FPL,2012,Percent,0.24014,3651000
Bronx,200 to 399% FPL,2011,Percent,0.22224,36005
Manhattan,200 to 399% FPL,2011,Percent,0.14662,36061
Brooklyn,200 to 399% FPL,2011,Percent,0.24726,36047
Queens,200 to 399% FPL,2011,Percent,0.31703,36081
Staten Island,200 to 399% FPL,2011,Percent,0.29523,36085
New York City,200 to 399% FPL,2011,Percent,0.24969,3651000
Bronx,200 to 399% FPL,2010,Percent,0.21751,36005
Manhattan,200 to 399% FPL,2010,Percent,0.17278,36061
Brooklyn,200 to 399% FPL,2010,Percent,0.25441,36047
Queens,200 to 399% FPL,2010,Percent,0.32719,36081
Staten Island,200 to 399% FPL,2010,Percent,0.29453,36085
New York City,200 to 399% FPL,2010,Percent,0.25689,3651000
Bronx,400% FPL and above,2017,Percent,0.10794,36005
Manhattan,400% FPL and above,2017,Percent,0.44712,36061
Brooklyn,400% FPL and above,2017,Percent,0.24221,36047
Queens,400% FPL and above,2017,Percent,0.27193,36081
Staten Island,400% FPL and above,2017,Percent,0.38499,36085
New York City,400% FPL and above,2017,Percent,0.25873,3651000
Bronx,400% FPL and above,2016,Percent,0.1016,36005
Manhattan,400% FPL and above,2016,Percent,0.45157,36061
Brooklyn,400% FPL and above,2016,Percent,0.22269,36047
Queens,400% FPL and above,2016,Percent,0.26644,36081
Staten Island,400% FPL and above,2016,Percent,0.36728,36085
New York City,400% FPL and above,2016,Percent,0.24879,3651000
Bronx,400% FPL and above,2015,Percent,0.09944,36005
Manhattan,400% FPL and above,2015,Percent,0.44181,36061
Brooklyn,400% FPL and above,2015,Percent,0.20994,36047
Queens,400% FPL and above,2015,Percent,0.25615,36081
Staten Island,400% FPL and above,2015,Percent,0.35984,36085
New York City,400% FPL and above,2015,Percent,0.23952,3651000
Bronx,400% FPL and above,2014,Percent,0.09667,36005
Manhattan,400% FPL and above,2014,Percent,0.43136,36061
Brooklyn,400% FPL and above,2014,Percent,0.19404,36047
Queens,400% FPL and above,2014,Percent,0.25249,36081
Staten Island,400% FPL and above,2014,Percent,0.37365,36085
New York City,400% FPL and above,2014,Percent,0.23198,3651000
Bronx,400% FPL and above,2013,Percent,0.09948,36005
Manhattan,400% FPL and above,2013,Percent,0.41457,36061
Brooklyn,400% FPL and above,2013,Percent,0.18302,36047
Queens,400% FPL and above,2013,Percent,0.2401,36081
Staten Island,400% FPL and above,2013,Percent,0.37927,36085
New York City,400% FPL and above,2013,Percent,0.22367,3651000
Bronx,400% FPL and above,2012,Percent,0.09967,36005
Manhattan,400% FPL and above,2012,Percent,0.40343,36061
Brooklyn,400% FPL and above,2012,Percent,0.17843,36047
Queens,400% FPL and above,2012,Percent,0.23587,36081
Staten Island,400% FPL and above,2012,Percent,0.38978,36085
New York City,400% FPL and above,2012,Percent,0.22015,3651000
Bronx,400% FPL and above,2011,Percent,0.10343,36005
Manhattan,400% FPL and above,2011,Percent,0.42331,36061
Brooklyn,400% FPL and above,2011,Percent,0.18635,36047
Queens,400% FPL and above,2011,Percent,0.24807,36081
Staten Island,400% FPL and above,2011,Percent,0.37338,36085
New York City,400% FPL and above,2011,Percent,0.22892,3651000
Bronx,400% FPL and above,2010,Percent,0.11242,36005
Manhattan,400% FPL and above,2010,Percent,0.42399,36061
Brooklyn,400% FPL and above,2010,Percent,0.19231,36047
Queens,400% FPL and above,2010,Percent,0.25736,36081
Staten Island,400% FPL and above,2010,Percent,0.39336,36085
New York City,400% FPL and above,2010,Percent,0.23729,3651000
Bronx,Below 100% FPL,2018,Number,140938,36005
Manhattan,Below 100% FPL,2018,Number,53714,36061
Brooklyn,Below 100% FPL,2018,Number,156836,36047
Queens,Below 100% FPL,2018,Number,70749,36081
Staten Island,Below 100% FPL,2018,Number,19071,36085
New York City,Below 100% FPL,2018,Number,441308,3651000
Bronx,100 to 199% FPL,2018,Number,88944,36005
Manhattan,100 to 199% FPL,2018,Number,37907,36061
Brooklyn,100 to 199% FPL,2018,Number,143365,36047
Queens,100 to 199% FPL,2018,Number,117262,36081
Staten Island,100 to 199% FPL,2018,Number,13489,36085
New York City,100 to 199% FPL,2018,Number,400967,3651000
Bronx,Below 200% FPL,2018,Number,229882,36005
Manhattan,Below 200% FPL,2018,Number,91621,36061
Brooklyn,Below 200% FPL,2018,Number,300201,36047
Queens,Below 200% FPL,2018,Number,188011,36081
Staten Island,Below 200% FPL,2018,Number,32560,36085
New York City,Below 200% FPL,2018,Number,842275,3651000
Bronx,200 to 399% FPL,2018,Number,83226,36005
Manhattan,200 to 399% FPL,2018,Number,34556,36061
Brooklyn,200 to 399% FPL,2018,Number,141023,36047
Queens,200 to 399% FPL,2018,Number,138582,36081
Staten Island,200 to 399% FPL,2018,Number,29312,36085
New York City,200 to 399% FPL,2018,Number,426699,3651000
Bronx,400% FPL and above,2018,Number,40921,36005
Manhattan,400% FPL and above,2018,Number,108622,36061
Brooklyn,400% FPL and above,2018,Number,153454,36047
Queens,400% FPL and above,2018,Number,132765,36081
Staten Island,400% FPL and above,2018,Number,41269,36085
New York City,400% FPL and above,2018,Number,477031,3651000
Bronx,Below 100% FPL,2018,Percent,0.3981,36005
Manhattan,Below 100% FPL,2018,Percent,0.22877,36061
Brooklyn,Below 100% FPL,2018,Percent,0.26373,36047
Queens,Below 100% FPL,2018,Percent,0.15402,36081
Staten Island,Below 100% FPL,2018,Percent,0.1849,36085
New York City,Below 100% FPL,2018,Percent,0.25275,3651000
Bronx,100 to 199% FPL,2018,Percent,0.25123,36005
Manhattan,100 to 199% FPL,2018,Percent,0.16144,36061
Brooklyn,100 to 199% FPL,2018,Percent,0.24108,36047
Queens,100 to 199% FPL,2018,Percent,0.25527,36081
Staten Island,100 to 199% FPL,2018,Percent,0.13078,36085
New York City,100 to 199% FPL,2018,Percent,0.22965,3651000
Bronx,Below 200% FPL,2018,Percent,0.64933,36005
Manhattan,Below 200% FPL,2018,Percent,0.39021,36061
Brooklyn,Below 200% FPL,2018,Percent,0.50481,36047
Queens,Below 200% FPL,2018,Percent,0.40929,36081
Staten Island,Below 200% FPL,2018,Percent,0.31568,36085
New York City,Below 200% FPL,2018,Percent,0.4824,3651000
Bronx,200 to 399% FPL,2018,Percent,0.23508,36005
Manhattan,200 to 399% FPL,2018,Percent,0.14717,36061
Brooklyn,200 to 399% FPL,2018,Percent,0.23714,36047
Queens,200 to 399% FPL,2018,Percent,0.30169,36081
Staten Island,200 to 399% FPL,2018,Percent,0.28419,36085
New York City,200 to 399% FPL,2018,Percent,0.24439,3651000
Bronx,400% FPL and above,2018,Percent,0.11559,36005
Manhattan,400% FPL and above,2018,Percent,0.46262,36061
Brooklyn,400% FPL and above,2018,Percent,0.25805,36047
Queens,400% FPL and above,2018,Percent,0.28902,36081
Staten Island,400% FPL and above,2018,Percent,0.40012,36085
New York City,400% FPL and above,2018,Percent,0.27321,3651000
Battery Park/Tribeca,100 to 199% FPL,2019,Number,96.11484,101
Greenwich Village,100 to 199% FPL,2019,Number,141.88516,102
Lower East Side,100 to 199% FPL,2019,Number,3653,103
Chelsea/Clinton,100 to 199% FPL,2019,Number,721.09819,104
Midtown Business District,100 to 199% FPL,2019,Number,360.90181,105
Murray Hill/Stuyvesant,100 to 199% FPL,2019,Number,765,106
Upper West Side,100 to 199% FPL,2019,Number,2810,107
Upper East Side,100 to 199% FPL,2019,Number,873,108
Manhattanville,100 to 199% FPL,2019,Number,4717,109
Central Harlem,100 to 199% FPL,2019,Number,6593,110
East Harlem,100 to 199% FPL,2019,Number,4772,111
Washington Heights,100 to 199% FPL,2019,Number,9823,112
Mott Haven,100 to 199% FPL,2019,Number,6232.92003,201
Hunts Point,100 to 199% FPL,2019,Number,3559.07997,202
Morrisania,100 to 199% FPL,2019,Number,6350.43096,203
Concourse/Highbridge,100 to 199% FPL,2019,Number,11702,204
University Heights,100 to 199% FPL,2019,Number,10527,205
East Tremont,100 to 199% FPL,2019,Number,6629.56904,206
Bedford Park,100 to 199% FPL,2019,Number,11406,207
Riverdale,100 to 199% FPL,2019,Number,5923,208
Unionport/Soundview,100 to 199% FPL,2019,Number,9567,209
Throgs Neck,100 to 199% FPL,2019,Number,2940,210
Pelham Parkway,100 to 199% FPL,2019,Number,6380,211
Williamsbridge,100 to 199% FPL,2019,Number,7489,212
Williamsburg/Greenpoint,100 to 199% FPL,2019,Number,7778,301
Fort Greene/Brooklyn Hts,100 to 199% FPL,2019,Number,3165,302
Bedford Stuyvesant,100 to 199% FPL,2019,Number,9052,303
Bushwick,100 to 199% FPL,2019,Number,4222,304
East New York,100 to 199% FPL,2019,Number,12735,305
Park Slope,100 to 199% FPL,2019,Number,1182,306
Sunset Park,100 to 199% FPL,2019,Number,10402,307
Crown Heights North,100 to 199% FPL,2019,Number,6344,308
Crown Heights South,100 to 199% FPL,2019,Number,4832,309
Bay Ridge,100 to 199% FPL,2019,Number,5167,310
Bensonhurst,100 to 199% FPL,2019,Number,10319,311
Borough Park,100 to 199% FPL,2019,Number,15207,312
Coney Island,100 to 199% FPL,2019,Number,5367,313
Flatbush/Midwood,100 to 199% FPL,2019,Number,12030,314
Sheepshead Bay,100 to 199% FPL,2019,Number,8978,315
Brownsville,100 to 199% FPL,2019,Number,6967,316
East Flatbush,100 to 199% FPL,2019,Number,7518,317
Canarsie,100 to 199% FPL,2019,Number,8149,318
Astoria,100 to 199% FPL,2019,Number,6168,401
Sunnyside/Woodside,100 to 199% FPL,2019,Number,6085,402
Jackson Heights,100 to 199% FPL,2019,Number,12480,403
Elmhurst/Corona,100 to 199% FPL,2019,Number,13748,404
Ridgewood/Glendale,100 to 199% FPL,2019,Number,8571,405
Rego Park/Forest Hills,100 to 199% FPL,2019,Number,1177,406
Flushing,100 to 199% FPL,2019,Number,12678,407
Fresh Meadows/Briarwood,100 to 199% FPL,2019,Number,7987,408
Woodhaven,100 to 199% FPL,2019,Number,5609,409
Howard Beach,100 to 199% FPL,2019,Number,6241,410
Bayside,100 to 199% FPL,2019,Number,2949,411
Jamaica/St. Albans,100 to 199% FPL,2019,Number,13996,412
Queens Village,100 to 199% FPL,2019,Number,5939,413
The Rockaways,100 to 199% FPL,2019,Number,7787,414
St. George,100 to 199% FPL,2019,Number,6965,501
South Beach,100 to 199% FPL,2019,Number,4187,502
Tottenville,100 to 199% FPL,2019,Number,4291,503
Bronx,100 to 199% FPL,2019,Number,88706,36005
Brooklyn,100 to 199% FPL,2019,Number,139413,36047
Manhattan,100 to 199% FPL,2019,Number,35327,36061
Queens,100 to 199% FPL,2019,Number,111415,36081
Staten Island,100 to 199% FPL,2019,Number,15443,36085
New York City,100 to 199% FPL,2019,Number,390304,3651000
Battery Park/Tribeca,100 to 199% FPL,2019,Percent,0.012,101
Greenwich Village,100 to 199% FPL,2019,Percent,0.012,102
Lower East Side,100 to 199% FPL,2019,Percent,0.201,103
Chelsea/Clinton,100 to 199% FPL,2019,Percent,0.076,104
Midtown Business District,100 to 199% FPL,2019,Percent,0.076,105
Murray Hill/Stuyvesant,100 to 199% FPL,2019,Percent,0.061,106
Upper West Side,100 to 199% FPL,2019,Percent,0.094,107
Upper East Side,100 to 199% FPL,2019,Percent,0.028,108
Manhattanville,100 to 199% FPL,2019,Percent,0.245,109
Central Harlem,100 to 199% FPL,2019,Percent,0.228,110
East Harlem,100 to 199% FPL,2019,Percent,0.233,111
Washington Heights,100 to 199% FPL,2019,Percent,0.273,112
Mott Haven,100 to 199% FPL,2019,Percent,0.248,201
Hunts Point,100 to 199% FPL,2019,Percent,0.248,202
Morrisania,100 to 199% FPL,2019,Percent,0.275,203
Concourse/Highbridge,100 to 199% FPL,2019,Percent,0.304,204
University Heights,100 to 199% FPL,2019,Percent,0.266,205
East Tremont,100 to 199% FPL,2019,Percent,0.275,206
Bedford Park,100 to 199% FPL,2019,Percent,0.303,207
Riverdale,100 to 199% FPL,2019,Percent,0.244,208
Unionport/Soundview,100 to 199% FPL,2019,Percent,0.224,209
Throgs Neck,100 to 199% FPL,2019,Percent,0.141,210
Pelham Parkway,100 to 199% FPL,2019,Percent,0.248,211
Williamsbridge,100 to 199% FPL,2019,Percent,0.243,212
Williamsburg/Greenpoint,100 to 199% FPL,2019,Percent,0.242,301
Fort Greene/Brooklyn Hts,100 to 199% FPL,2019,Percent,0.127,302
Bedford Stuyvesant,100 to 199% FPL,2019,Percent,0.259,303
Bushwick,100 to 199% FPL,2019,Percent,0.181,304
East New York,100 to 199% FPL,2019,Percent,0.276,305
Park Slope,100 to 199% FPL,2019,Percent,0.047,306
Sunset Park,100 to 199% FPL,2019,Percent,0.318,307
Crown Heights North,100 to 199% FPL,2019,Percent,0.247,308
Crown Heights South,100 to 199% FPL,2019,Percent,0.222,309
Bay Ridge,100 to 199% FPL,2019,Percent,0.208,310
Bensonhurst,100 to 199% FPL,2019,Percent,0.25,311
Borough Park,100 to 199% FPL,2019,Percent,0.289,312
Coney Island,100 to 199% FPL,2019,Percent,0.228,313
Flatbush/Midwood,100 to 199% FPL,2019,Percent,0.318,314
Sheepshead Bay,100 to 199% FPL,2019,Percent,0.253,315
Brownsville,100 to 199% FPL,2019,Percent,0.257,316
East Flatbush,100 to 199% FPL,2019,Percent,0.274,317
Canarsie,100 to 199% FPL,2019,Percent,0.175,318
Astoria,100 to 199% FPL,2019,Percent,0.252,401
Sunnyside/Woodside,100 to 199% FPL,2019,Percent,0.27,402
Jackson Heights,100 to 199% FPL,2019,Percent,0.339,403
Elmhurst/Corona,100 to 199% FPL,2019,Percent,0.429,404
Ridgewood/Glendale,100 to 199% FPL,2019,Percent,0.216,405
Rego Park/Forest Hills,100 to 199% FPL,2019,Percent,0.062,406
Flushing,100 to 199% FPL,2019,Percent,0.297,407
Fresh Meadows/Briarwood,100 to 199% FPL,2019,Percent,0.226,408
Woodhaven,100 to 199% FPL,2019,Percent,0.197,409
Howard Beach,100 to 199% FPL,2019,Percent,0.264,410
Bayside,100 to 199% FPL,2019,Percent,0.146,411
Jamaica/St. Albans,100 to 199% FPL,2019,Percent,0.27,412
Queens Village,100 to 199% FPL,2019,Percent,0.157,413
The Rockaways,100 to 199% FPL,2019,Percent,0.225,414
St. George,100 to 199% FPL,2019,Percent,0.186,501
South Beach,100 to 199% FPL,2019,Percent,0.131,502
Tottenville,100 to 199% FPL,2019,Percent,0.129,503
Bronx,100 to 199% FPL,2019,Percent,0.256,36005
Brooklyn,100 to 199% FPL,2019,Percent,0.239,36047
Manhattan,100 to 199% FPL,2019,Percent,0.153,36061
Queens,100 to 199% FPL,2019,Percent,0.248,36081
Staten Island,100 to 199% FPL,2019,Percent,0.15,36085
New York City,100 to 199% FPL,2019,Percent,0.228,3651000
Battery Park/Tribeca,200 to 399% FPL,2019,Number,488.24723,101
Greenwich Village,200 to 399% FPL,2019,Number,720.75277,102
Lower East Side,200 to 399% FPL,2019,Number,2982,103
Chelsea/Clinton,200 to 399% FPL,2019,Number,1313.57166,104
Midtown Business District,200 to 399% FPL,2019,Number,657.42834,105
Murray Hill/Stuyvesant,200 to 399% FPL,2019,Number,488,106
Upper West Side,200 to 399% FPL,2019,Number,3148,107
Upper East Side,200 to 399% FPL,2019,Number,2483,108
Manhattanville,200 to 399% FPL,2019,Number,3484,109
Central Harlem,200 to 399% FPL,2019,Number,5489,110
East Harlem,200 to 399% FPL,2019,Number,4732,111
Washington Heights,200 to 399% FPL,2019,Number,12583,112
Mott Haven,200 to 399% FPL,2019,Number,4351.33184,201
Hunts Point,200 to 399% FPL,2019,Number,2484.66816,202
Morrisania,200 to 399% FPL,2019,Number,4986.89852,203
Concourse/Highbridge,200 to 399% FPL,2019,Number,7674,204
University Heights,200 to 399% FPL,2019,Number,9481,205
East Tremont,200 to 399% FPL,2019,Number,5206.10148,206
Bedford Park,200 to 399% FPL,2019,Number,7616,207
Riverdale,200 to 399% FPL,2019,Number,4140,208
Unionport/Soundview,200 to 399% FPL,2019,Number,11445,209
Throgs Neck,200 to 399% FPL,2019,Number,7011,210
Pelham Parkway,200 to 399% FPL,2019,Number,9342,211
Williamsbridge,200 to 399% FPL,2019,Number,9934,212
Williamsburg/Greenpoint,200 to 399% FPL,2019,Number,4962,301
Fort Greene/Brooklyn Hts,200 to 399% FPL,2019,Number,2890,302
Bedford Stuyvesant,200 to 399% FPL,2019,Number,6866,303
Bushwick,200 to 399% FPL,2019,Number,5724,304
East New York,200 to 399% FPL,2019,Number,13012,305
Park Slope,200 to 399% FPL,2019,Number,2508,306
Sunset Park,200 to 399% FPL,2019,Number,6342,307
Crown Heights North,200 to 399% FPL,2019,Number,4730,308
Crown Heights South,200 to 399% FPL,2019,Number,6131,309
Bay Ridge,200 to 399% FPL,2019,Number,6008,310
Bensonhurst,200 to 399% FPL,2019,Number,11465,311
Borough Park,200 to 399% FPL,2019,Number,8607,312
Coney Island,200 to 399% FPL,2019,Number,6029,313
Flatbush/Midwood,200 to 399% FPL,2019,Number,10390,314
Sheepshead Bay,200 to 399% FPL,2019,Number,11288,315
Brownsville,200 to 399% FPL,2019,Number,6213,316
East Flatbush,200 to 399% FPL,2019,Number,8856,317
Canarsie,200 to 399% FPL,2019,Number,14045,318
Astoria,200 to 399% FPL,2019,Number,6773,401
